timestamp,drug_name,price_usd,vendor_id,ships_from,ships_to,product_rating,vendor_rating
1411852639266,amphetamine,513.8930644425001,42,Australia,Australia,0,91
1411852639267,amphetamine,2510.9381196225,45,Germany,European Union,0,NEW VENDOR
1411852639267,amphetamine,182.3396585475,44,China,Worldwide except Australia,0,95
1411852639268,amphetamine,2265.5081166225,29,Netherlands,Worldwide except Australia,0,94
1411852639268,amphetamine,1562.9123788650002,41,Undeclared,Worldwide,0,87
1411852639268,amphetamine,573.067951575,41,Undeclared,Worldwide,0,87
1411852639269,amphetamine,364.6797137175,41,Undeclared,Worldwide,0,87
1411852639269,amphetamine,1040.8996586025,12,Germany,Worldwide,0,82
1411852639270,amphetamine,72.9361013925,30,Undeclared,Worldwide,0,88
1411852657083,amphetamine,260.4853964775,43,China,Worldwide,0,NEW VENDOR
1411852657084,amphetamine,312.5825550975,30,Undeclared,Worldwide,0,88
1411852657084,amphetamine,989.8444272899999,41,Undeclared,Worldwide,0,87
1411852657084,amphetamine,5034.46265766,29,Netherlands,Worldwide except Australia,0,94
1411852657085,amphetamine,2292.2714096775003,41,Undeclared,Worldwide,0,87
1411852657085,amphetamine,675.1780175775,12,Germany,Worldwide,0,82
1411852657086,amphetamine,173.559626265,21,Australia,Australia,0,91
1411852657086,amphetamine,2012.5264212225002,29,Netherlands,Worldwide except Australia,0,94
1411852657087,amphetamine,116.4217922925,29,Netherlands,Worldwide except Australia,0,94
1411852657087,amphetamine,145.87180616249998,30,Undeclared,Worldwide,0,88
1411852657087,amphetamine,456.73579596749994,21,Australia,Australia,0,91
1411852657088,amphetamine,781.4561894325001,37,China,Worldwide,0,94
1411852657088,amphetamine,1041.94158591,43,China,Worldwide,0,NEW VENDOR
1411852657089,amphetamine,3438.4073128275,31,China,Worldwide,0,64
1411852657089,amphetamine,5209.70792955,34,China,Worldwide,0,78
1411852657089,amphetamine,2604.853964775,31,China,Worldwide,0,64
1411852657090,amphetamine,807.5047687425,44,China,Worldwide except Australia,0,95
1411852657090,amphetamine,58.14803147999999,46,Italy,Worldwide,0,95
1411852657090,amphetamine,10572.3713431125,45,Germany,European Union,0,NEW VENDOR
1411852657091,amphetamine,17713.0065638475,37,China,Worldwide,0,94
1411852657091,amphetamine,2985.162588105,43,China,Worldwide,0,NEW VENDOR
1411852657092,amphetamine,213.9647502075,29,Netherlands,Worldwide except Australia,0,94
1411852657092,amphetamine,2083.88317182,37,China,Worldwide,0,94
1411852657092,amphetamine,2709.0478853925,44,China,Worldwide except Australia,0,95
1411852657093,amphetamine,833.5533480525,43,China,Worldwide,0,NEW VENDOR
1411852673630,amphetamine,2083.88317182,31,China,Worldwide,0,64
1411852673630,amphetamine,3572.817521985,12,Germany,Worldwide,0,82
1411852673631,amphetamine,72.68503935,29,Netherlands,Worldwide except Australia,0,94
1411852673631,amphetamine,437.61541848750005,44,China,Worldwide except Australia,0,95
1411852673632,amphetamine,2500.6596475349997,43,China,Worldwide,0,NEW VENDOR
1411852673634,amphetamine,1875.4949339625002,43,China,Worldwide,0,NEW VENDOR
1411852673635,amphetamine,377.5842233775,29,Netherlands,Worldwide except Australia,0,94
1411852673636,amphetamine,1875.4949339625002,43,China,Worldwide,0,NEW VENDOR
1411852673636,amphetamine,33342.129955875,37,China,Worldwide,0,94
1411852673636,amphetamine,312.5825550975,44,China,Worldwide except Australia,0,95
1411852673637,amphetamine,818.1001422075,29,Netherlands,Worldwide except Australia,0,94
1411852673638,amphetamine,937.74726867,31,China,Worldwide,0,64
1411852673638,amphetamine,1258.615664415,29,Netherlands,Worldwide except Australia,0,94
1411852673639,amphetamine,1458.718061625,43,China,Worldwide,0,NEW VENDOR
1411852673639,amphetamine,17.4525798675,33,United States,United States,0,91
1411852673640,amphetamine,3146.5391610375,29,Netherlands,Worldwide except Australia,0,94
1411852673640,amphetamine,1885.9142070374999,12,Germany,Worldwide,0,82
1411852673641,amphetamine,646.003656345,30,Undeclared,Worldwide,0,88
1411852673641,amphetamine,101.75905509,46,Italy,Worldwide,0,95
1411852673642,amphetamine,3959.3781057825,37,China,Worldwide,0,94
1411852673642,amphetamine,3125.8247577300003,34,China,Worldwide,0,78
1411852730407,cocaine,99.2032197,47,Germany,Worldwide,1630,87
1411852730409,cocaine,99.11596275000001,0,Germany,Worldwide,1410,86
1411852730410,cocaine,166.710748935,48,Germany,Worldwide,865,89
1411852730411,cocaine,99.11596275000001,49,Netherlands,Worldwide,782,86
1411852730411,cocaine,161.223080025,50,United Kingdom,Worldwide except Australia,814,94
1411852730412,cocaine,35.5488780525,51,United Kingdom,Worldwide,476,89
1411852730414,cocaine,104.19431724,48,Germany,Worldwide,419,89
1411852730415,cocaine,166.710748935,52,United States,United States,346,95
1411852730415,cocaine,82.94764653749999,53,United Kingdom,Worldwide,289,95
1411852730416,cocaine,160.816938585,54,United Kingdom,Worldwide,311,92
1411852730416,cocaine,342.55174782,55,Australia,Australia,316,92
1411852730417,cocaine,86.33321619750001,56,United Kingdom,United Kingdom,299,96
1411852730417,cocaine,93.7746475425,57,United States,Worldwide,288,93
1411852730418,cocaine,98.98428408000001,58,United States,United States,260,91
1411852730419,cocaine,321.959900865,47,Germany,Worldwide,265,87
1411852730420,cocaine,95.15132424000001,59,Netherlands,Worldwide,204,89
1411852730420,cocaine,462.5411595,0,Germany,Worldwide,245,86
1411852730421,cocaine,50.21875446,59,Netherlands,Worldwide,201,89
1411852730421,cocaine,460.538215875,47,Germany,Worldwide,206,87
1411852730422,cocaine,84.6404313675,60,United Kingdom,Worldwide,223,88
1411852730423,cocaine,143.8886936625,53,United Kingdom,Worldwide,164,95
1411852730424,cocaine,123.564566895,61,Belgium,Worldwide,171,86
1411852730424,cocaine,347.11925253,62,Australia,Australia,130,96
1411852730425,cocaine,241.18217602500002,49,Netherlands,Worldwide,168,86
1411852730425,cocaine,50.33774121,29,Netherlands,Worldwide except Australia,157,94
1411852746974,cocaine,310.4987004825,58,United States,United States,158,91
1411852746975,cocaine,167.588077905,56,United Kingdom,United Kingdom,139,96
1411852746975,cocaine,137.1175543425,51,United Kingdom,Worldwide,129,89
1411852746976,cocaine,187.549295085,58,United States,United States,127,91
1411852746977,cocaine,81.2548617075,53,United Kingdom,Worldwide,128,95
1411852746978,cocaine,524.77122975,50,United Kingdom,Worldwide except Australia,129,94
1411852746978,cocaine,328.21146471000003,63,United States,United States,120,97
1411852746979,cocaine,108.153403035,5,Germany,Worldwide except Australia,100,94
1411852746979,cocaine,91.2394365225,29,Netherlands,Worldwide except Australia,112,94
1411852746980,cocaine,859.0050105,0,Germany,Worldwide,112,86
1411852746980,cocaine,159.124153755,53,United Kingdom,Worldwide,89,95
1411852746981,cocaine,253.921690725,60,United Kingdom,Worldwide,97,88
1411852746981,cocaine,520.970792955,64,United Kingdom,Worldwide,102,90
1411852746982,cocaine,107.4700224675,65,Canada,Worldwide,97,91
1411852746984,cocaine,169.280862735,8,United Kingdom,Worldwide,97,87
1411852746984,cocaine,160.16727093,66,United States,United States,96,93
1411852746985,cocaine,27.752469570000002,59,Netherlands,Worldwide,84,89
1411852746987,cocaine,365.38887474750004,67,Australia,Australia,101,95
1411852746987,cocaine,319.715017515,68,Australia,Australia,93,94
1411852746988,cocaine,152.353014435,60,United Kingdom,United Kingdom,94,88
1411852746988,cocaine,104.19431724,63,United States,United States,78,97
1411852746990,cocaine,95.15132424000001,17,Netherlands,Worldwide,78,86
1411852746991,cocaine,152.353014435,60,United Kingdom,Worldwide,82,88
1411852746991,cocaine,291.16335360749997,53,United Kingdom,Worldwide,60,95
1411852763909,cocaine,138.9221867175,69,United States,Worldwide,58,94
1411852763910,cocaine,92.5082319,70,Undeclared,Worldwide,74,90
1411852763910,cocaine,114.61359031500001,48,Germany,Worldwide,72,89
1411852763911,cocaine,173.0563123125,29,Netherlands,Worldwide except Australia,72,94
1411852763912,cocaine,287.7777839475,60,United Kingdom,Worldwide,67,88
1411852763912,cocaine,479.2933040325,71,Australia,Australia,71,98
1411852763912,cocaine,248.0758716975,69,United States,Worldwide,54,94
1411852763913,cocaine,62.51643169500001,72,Canada,Worldwide,62,83
1411852763913,cocaine,58.5466370925,5,Germany,Worldwide,46,94
1411852763914,cocaine,75.668433795,56,United Kingdom,United Kingdom,55,96
1411852763914,cocaine,136.494460395,73,United States,United States ,66,97
1411852763915,cocaine,328.21146471000003,57,United States,Worldwide,60,93
1411852763915,cocaine,625.165110195,48,Germany,Worldwide,51,89
1411852763916,cocaine,475.7566212,49,Netherlands,Worldwide,50,86
1411852763917,cocaine,151.0814427,74,Norway,Worldwide,48,94
1411852763918,cocaine,205.53096936749998,67,Australia,Australia,45,95
1411852763918,cocaine,388.9879134975,69,United States,Worldwide,39,94
1411852763919,cocaine,400.105638795,73,United States,United States ,53,97
1411852763919,cocaine,450.2875073625,60,United Kingdom,Worldwide,54,88
1411852763920,cocaine,160.816938585,75,United Kingdom,European Union,39,92
1411852763920,cocaine,114.61359031500001,72,Canada,Worldwide,43,83
1411852763921,cocaine,0,76,Australia,Worldwide,42,98
1411852763921,cocaine,33.8560932225,75,United Kingdom,European Union,28,92
1411852763922,cocaine,158.58554039999999,77,Germany,Germany,49,94
1411852763922,cocaine,92.5082319,78,Germany,Worldwide,41,91
1411852780547,cocaine,81.2548617075,75,United Kingdom,European Union,31,92
1411852780548,cocaine,46.34930535,79,United Kingdom,United Kingdom,41,91
1411852780549,cocaine,36.467852385,72,Canada,Worldwide,41,83
1411852780549,cocaine,419.81698380000006,53,United Kingdom,Worldwide,32,95
1411852780550,cocaine,702.516016635,53,United Kingdom,Worldwide,40,95
1411852780551,cocaine,67.7260682325,62,Australia,Australia,38,96
1411852780551,cocaine,236.9934458025,53,United Kingdom,Worldwide,33,95
1411852780552,cocaine,93.10475214,8,United Kingdom,Worldwide,42,87
